 Shell#     R/Rsun       M/Msun       Cs               Rho
      1   0.00966995  0.00009549  5.07336876E+02  2.17300692E+00  7.19071282E+00
      2   0.00996425  0.00010448  5.07364837E+02  2.17279552E+00  7.19065986E+00
      3   0.01026702  0.00011429  5.07366913E+02  2.17261865E+00  7.19060385E+00
      4   0.01057845  0.00012500  5.07377889E+02  2.17241619E+00  7.19054451E+00
      5   0.01089870  0.00013668  5.07391800E+02  2.17219780E+00  7.19048161E+00
      6   0.01122796  0.00014942  5.07408289E+02  2.17196353E+00  7.19041493E+00
      7   0.01156637  0.00016331  5.07425766E+02  2.17171549E+00  7.19034425E+00
      8   0.01191411  0.00017845  5.07443583E+02  2.17145418E+00  7.19026939E+00
      9   0.01227132  0.00019494  5.07462397E+02  2.17117784E+00  7.19019018E+00
     10   0.01263814  0.00021288  5.07482275E+02  2.17088569E+00  7.19010641E+00
     11   0.01301471  0.00023241  5.07503216E+02  2.17057707E+00  7.19001786E+00
     12   0.01340113  0.00025364  5.07525264E+02  2.17025121E+00  7.18992432E+00
     13   0.01379752  0.00027671  5.07548487E+02  2.16990729E+00  7.18982555E+00
     14   0.01420396  0.00030177  5.07572926E+02  2.16954454E+00  7.18972132E+00
     15   0.01462054  0.00032896  5.07598620E+02  2.16916215E+00  7.18961141E+00
     16   0.01504729  0.00035843  5.07625594E+02  2.16875937E+00  7.18949556E+00
     17   0.01548427  0.00039037  5.07653924E+02  2.16833534E+00  7.18937355E+00
     18   0.01593147  0.00042494  5.07683608E+02  2.16788932E+00  7.18924514E+00
     19   0.01638890  0.00046233  5.07714694E+02  2.16742053E+00  7.18911010E+00
     20   0.01685651  0.00050272  5.07747228E+02  2.16692818E+00  7.18896818E+00
     21   0.01733425  0.00054632  5.07781222E+02  2.16641155E+00  7.18881918E+00
     22   0.01782203  0.00059332  5.07816713E+02  2.16586991E+00  7.18866286E+00
     23   0.01831974  0.00064395  5.07853725E+02  2.16530257E+00  7.18849903E+00
     24   0.01882723  0.00069841  5.07892263E+02  2.16470892E+00  7.18832747E+00
     25   0.01934432  0.00075692  5.07932355E+02  2.16408833E+00  7.18814800E+00
     26   0.01987083  0.00081970  5.07973994E+02  2.16344027E+00  7.18796045E+00
     27   0.02040650  0.00088699  5.08017187E+02  2.16276426E+00  7.18776465E+00
     28   0.02095108  0.00095899  5.08061933E+02  2.16205987E+00  7.18756048E+00
     29   0.02150429  0.00103594  5.08108217E+02  2.16132674E+00  7.18734779E+00
     30   0.02206580  0.00111807  5.08156021E+02  2.16056459E+00  7.18712650E+00
     31   0.02263527  0.00120558  5.08205323E+02  2.15977322E+00  7.18689651E+00
     32   0.02321235  0.00129869  5.08256089E+02  2.15895250E+00  7.18665777E+00
     33   0.02379663  0.00139761  5.08308286E+02  2.15810238E+00  7.18641025E+00
     34   0.02438772  0.00150254  5.08361865E+02  2.15722290E+00  7.18615392E+00
     35   0.02498519  0.00161367  5.08416775E+02  2.15631419E+00  7.18588880E+00
     36   0.02558861  0.00173119  5.08472962E+02  2.15537644E+00  7.18561492E+00
     37   0.02619752  0.00185525  5.08530359E+02  2.15440994E+00  7.18533233E+00
     38   0.02681149  0.00198603  5.08588900E+02  2.15341504E+00  7.18504112E+00
     39   0.02743004  0.00212366  5.08648510E+02  2.15239218E+00  7.18474138E+00
     40   0.02805273  0.00226828  5.08709110E+02  2.15134187E+00  7.18443323E+00
     41   0.02867909  0.00242001  5.08770621E+02  2.15026466E+00  7.18411681E+00
     42   0.02930868  0.00257894  5.08832954E+02  2.14916117E+00  7.18379227E+00
     43   0.02994104  0.00274517  5.08896021E+02  2.14803210E+00  7.18345979E+00
     44   0.03057575  0.00291877  5.08959734E+02  2.14687814E+00  7.18311954E+00
     45   0.03121239  0.00309981  5.09023999E+02  2.14570008E+00  7.18277172E+00
     46   0.03185055  0.00328832  5.09088723E+02  2.14449869E+00  7.18241654E+00
     47   0.03248983  0.00348435  5.09153815E+02  2.14327480E+00  7.18205421E+00
     48   0.03312987  0.00368791  5.09219179E+02  2.14202924E+00  7.18168495E+00
     49   0.03377031  0.00389902  5.09284724E+02  2.14076286E+00  7.18130899E+00
     50   0.03441082  0.00411766  5.09350359E+02  2.13947652E+00  7.18092656E+00
     51   0.03505108  0.00434383  5.09415993E+02  2.13817109E+00  7.18053788E+00
     52   0.03569079  0.00457751  5.09481539E+02  2.13684741E+00  7.18014319E+00
     53   0.03632968  0.00481866  5.09546910E+02  2.13550633E+00  7.17974272E+00
     54   0.03696750  0.00506724  5.09612025E+02  2.13414870E+00  7.17933668E+00
     55   0.03760401  0.00532320  5.09676802E+02  2.13277534E+00  7.17892532E+00
     56   0.03823899  0.00558650  5.09741163E+02  2.13138705E+00  7.17850884E+00
     57   0.03887226  0.00585706  5.09805034E+02  2.12998462E+00  7.17808746E+00
     58   0.03950363  0.00613484  5.09868343E+02  2.12856880E+00  7.17766139E+00
     59   0.04013295  0.00641975  5.09931021E+02  2.12714033E+00  7.17723083E+00
     60   0.04076007  0.00671173  5.09993004E+02  2.12569994E+00  7.17679598E+00
     61   0.04138486  0.00701071  5.10054239E+02  2.12424827E+00  7.17635703E+00
     62   0.04200722  0.00731660  5.10114702E+02  2.12278595E+00  7.17591416E+00
     63   0.04262704  0.00762934  5.10174338E+02  2.12131361E+00  7.17546754E+00
     64   0.04324425  0.00794883  5.10233094E+02  2.11983183E+00  7.17501735E+00
     65   0.04385876  0.00827500  5.10290922E+02  2.11834119E+00  7.17456374E+00
     66   0.04447053  0.00860778  5.10347778E+02  2.11684223E+00  7.17410687E+00
     67   0.04507949  0.00894707  5.10403621E+02  2.11533547E+00  7.17364688E+00
     68   0.04568562  0.00929280  5.10458410E+02  2.11382139E+00  7.17318391E+00
     69   0.04628888  0.00964490  5.10512108E+02  2.11230046E+00  7.17271809E+00
     70   0.04688924  0.01000328  5.10564682E+02  2.11077310E+00  7.17224955E+00
     71   0.04748671  0.01036787  5.10616099E+02  2.10923974E+00  7.17177840E+00
     72   0.04808126  0.01073859  5.10666329E+02  2.10770076E+00  7.17130476E+00
     73   0.04867290  0.01111537  5.10715343E+02  2.10615653E+00  7.17082873E+00
     74   0.04926163  0.01149813  5.10763117E+02  2.10460738E+00  7.17035040E+00
     75   0.04984746  0.01188681  5.10809626E+02  2.10305365E+00  7.16986988E+00
     76   0.05043042  0.01228134  5.10854847E+02  2.10149562E+00  7.16938725E+00
     77   0.05101051  0.01268166  5.10898760E+02  2.09993359E+00  7.16890259E+00
     78   0.05158776  0.01308769  5.10941345E+02  2.09836782E+00  7.16841599E+00
     79   0.05216220  0.01349937  5.10982585E+02  2.09679856E+00  7.16792750E+00
     80   0.05273386  0.01391665  5.11022462E+02  2.09522603E+00  7.16743720E+00
     81   0.05330276  0.01433947  5.11060962E+02  2.09365045E+00  7.16694516E+00
     82   0.05386896  0.01476776  5.11098071E+02  2.09207203E+00  7.16645142E+00
     83   0.05443247  0.01520149  5.11133774E+02  2.09049093E+00  7.16595605E+00
     84   0.05499334  0.01564059  5.11168062E+02  2.08890735E+00  7.16545910E+00
     85   0.05555161  0.01608501  5.11200921E+02  2.08732143E+00  7.16496062E+00
